🔹 beforeEach: переход на страницу договоров...
🔹 Переход в 'Стратегия взыскания'...
🔹 Ищем договор для купленных (без 'АА')...
🔹 Применяем фильтр по организации 'Турбозайм'...
Проверяем договор: АА 14109584 | Статус: Клиент банкрот
Проверяем договор: АА 14284374 | Статус: Клиент банкрот
Проверяем договор: АА 14076808 | Статус: Клиент банкрот
Проверяем договор: АА 14042999 | Статус: Клиент банкрот
Проверяем договор: АА 14016447 | Статус: Клиент банкрот
Проверяем договор: АА 14164696 | Статус: Клиент банкрот
Проверяем договор: АА 14274096 | Статус: Клиент банкрот
Проверяем договор: АА 14343855 | Статус: Клиент банкрот
Проверяем договор: АА 14409952 | Статус: Клиент банкрот
Проверяем договор: АА 14358338 | Статус: Клиент банкрот
Проверяем договор: АА 14380541 | Статус: Клиент банкрот
Проверяем договор: АА 14336261 | Статус: Клиент банкрот
Проверяем договор: АА 14414482 | Статус: Клиент банкрот
Проверяем договор: АА 14312547 | Статус: Клиент банкрот
Проверяем договор: АА 14204072 | Статус: Клиент банкрот
Проверяем договор: АА 14100454 | Статус: Клиент банкрот
Проверяем договор: АА 14302721 | Статус: Клиент банкрот
Проверяем договор: АА 14311552 | Статус: Клиент банкрот
Проверяем договор: АА 14319012 | Статус: Клиент банкрот
Проверяем договор: АА 14399443 | Статус: Клиент банкрот
🔹 Переходим на следующую страницу 2...
Проверяем договор: АА 14109584 | Статус: Клиент банкрот
Проверяем договор: АА 14284374 | Статус: Клиент банкрот
Проверяем договор: АА 14076808 | Статус: Клиент банкрот
Проверяем договор: АА 14042999 | Статус: Клиент банкрот
Проверяем договор: АА 14016447 | Статус: Клиент банкрот
Проверяем договор: АА 14164696 | Статус: Клиент банкрот
Проверяем договор: АА 14274096 | Статус: Клиент банкрот
Проверяем договор: АА 14343855 | Статус: Клиент банкрот
Проверяем договор: АА 14409952 | Статус: Клиент банкрот
Проверяем договор: АА 14358338 | Статус: Клиент банкрот
Проверяем договор: АА 14380541 | Статус: Клиент банкрот
Проверяем договор: АА 14336261 | Статус: Клиент банкрот
Проверяем договор: АА 14414482 | Статус: Клиент банкрот
Проверяем договор: АА 14312547 | Статус: Клиент банкрот
Проверяем договор: АА 14204072 | Статус: Клиент банкрот
Проверяем договор: АА 14100454 | Статус: Клиент банкрот
Проверяем договор: АА 14302721 | Статус: Клиент банкрот
Проверяем договор: АА 14311552 | Статус: Клиент банкрот
Проверяем договор: АА 14319012 | Статус: Клиент банкрот
Проверяем договор: АА 14399443 | Статус: Клиент банкрот
🔹 Переходим на следующую страницу 3...
Проверяем договор: АА 14353844 | Статус: Клиент банкрот
Проверяем договор: АА 14262355 | Статус: Клиент банкрот
Проверяем договор: АА 14103201 | Статус: Клиент банкрот
Проверяем договор: АА 14363476 | Статус: Клиент банкрот
Проверяем договор: АА 14303631 | Статус: Клиент банкрот
Проверяем договор: АА 14076960 | Статус: Клиент банкрот
Проверяем договор: АА 14319781 | Статус: Клиент банкрот
Проверяем договор: АА 14276969 | Статус: Клиент банкрот
Проверяем договор: АА 13987167 | Статус: Клиент банкрот
Проверяем договор: АА 14376834 | Статус: Клиент банкрот
Проверяем договор: АА 14238802 | Статус: Клиент банкрот
Проверяем договор: АА 14234959 | Статус: Клиент банкрот
Проверяем договор: АА 14116902 | Статус: Клиент банкрот
Проверяем договор: АА 14231834 | Статус: Клиент банкрот
Проверяем договор: АА 14340909 | Статус: Клиент банкрот
Проверяем договор: АА 14355390 | Статус: Клиент банкрот
Проверяем договор: АА 14275563 | Статус: Клиент банкрот
Проверяем договор: АА 14224789 | Статус: Клиент банкрот
Проверяем договор: АА 14110208 | Статус: Клиент банкрот
Проверяем договор: АА 14119728 | Статус: Клиент банкрот
🔹 Переходим на следующую страницу 4...
Проверяем договор: АА 14287670 | Статус: Клиент банкрот
Проверяем договор: АА 14282836 | Статус: Клиент банкрот
Проверяем договор: АА 12655556 | Статус: Клиент банкрот
Проверяем договор: АА 14380436 | Статус: Клиент банкрот
Проверяем договор: АА 14035737 | Статус: Клиент банкрот
Проверяем договор: АА 14075887 | Статус: Клиент банкрот
Проверяем договор: АА 14009413 | Статус: Клиент банкрот
Проверяем договор: АА 14054570 | Статус: Клиент банкрот
Проверяем договор: АА 14332385 | Статус: Клиент банкрот
Проверяем договор: АА 14085617 | Статус: Клиент банкрот
Проверяем договор: АА 14253012 | Статус: Клиент банкрот
Проверяем договор: АА 14354631 | Статус: Клиент банкрот
Проверяем договор: АА 14405827 | Статус: Клиент банкрот
Проверяем договор: АА 14054816 | Статус: Клиент банкрот
Проверяем договор: АА 14025396 | Статус: Клиент банкрот
Проверяем договор: АА 14003360 | Статус: Клиент банкрот
Проверяем договор: АА 14053555 | Статус: Клиент банкрот
Проверяем договор: АА 14371268 | Статус: Клиент банкрот
Проверяем договор: АА 14059662 | Статус: Клиент банкрот
Проверяем договор: АА 14043238 | Статус: Клиент банкрот
🔹 Переходим на следующую страницу 5...
Проверяем договор: АА 14421052 | Статус: Клиент банкрот
Проверяем договор: АА 14278296 | Статус: Клиент банкрот
Проверяем договор: АА 14044649 | Статус: Клиент банкрот
Проверяем договор: АА 14097597 | Статус: Клиент банкрот
Проверяем договор: АА 13927248 | Статус: Клиент банкрот
Проверяем договор: АА 14076182 | Статус: Клиент банкрот
Проверяем договор: АА 14234117 | Статус: Клиент банкрот
Проверяем договор: АА 14401482 | Статус: Клиент банкрот
Проверяем договор: АА 14111700 | Статус: Клиент банкрот
Проверяем договор: АА 13953331 | Статус: Клиент банкрот
Проверяем договор: АА 14363733 | Статус: Клиент банкрот
Проверяем договор: АА 14414684 | Статус: Клиент банкрот
Проверяем договор: АА 14373214 | Статус: Клиент банкрот
Проверяем договор: АА 14414163 | Статус: Клиент банкрот
Проверяем договор: АА 14093728 | Статус: Клиент банкрот
Проверяем договор: АА 14297627 | Статус: Клиент банкрот
Проверяем договор: АА 14330548 | Статус: Клиент банкрот
Проверяем договор: АА 14389061 | Статус: Клиент банкрот
Проверяем договор: АА 14092831 | Статус: Клиент банкрот
Проверяем договор: АА 14068219 | Статус: Клиент банкрот
🔹 Переходим на следующую страницу 6...
Проверяем договор: АА 14060358 | Статус: Клиент банкрот
Проверяем договор: АА 14062202 | Статус: Клиент банкрот
Проверяем договор: АА 14104558 | Статус: Клиент банкрот
Проверяем договор: АА 14081333 | Статус: Клиент банкрот
Проверяем договор: АА 14075810 | Статус: Клиент банкрот
Проверяем договор: АА 14372770 | Статус: Клиент банкрот
Проверяем договор: АА 14288555 | Статус: Клиент банкрот
Проверяем договор: АА 14040819 | Статус: Клиент банкрот
Проверяем договор: АА 14128777 | Статус: Клиент банкрот
Проверяем договор: АА 14056729 | Статус: Клиент банкрот
Проверяем договор: АА 14042811 | Статус: Клиент банкрот
Проверяем договор: АА 14241691 | Статус: Клиент банкрот
Проверяем договор: АА 14317459 | Статус: Клиент банкрот
Проверяем договор: АА 14353423 | Статус: Клиент не банкрот
Проверяем договор: АА 14072028 | Статус: Клиент не банкрот
Проверяем договор: АА 14031631 | Статус: Клиент банкрот
Проверяем договор: АА 14040640 | Статус: Клиент банкрот
Проверяем договор: АА 14037551 | Статус: Клиент банкрот
Проверяем договор: АА 14379904 | Статус: Клиент не банкрот
Проверяем договор: АА 14351744 | Статус: Клиент не банкрот
🔹 Переходим на следующую страницу 7...
